feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,over_with_pair,over_without_pair,over_denominator_with,over_denominator_without,over_rate_with,over_rate_without,lift,delta,eligible_lift
has_minimum__AND__has_type,has_minimum,has_type,33,62,0.347368,42,78,49,107,0.857143,0.728972,1.17582,0.128171,true
has_minItems__AND__has_minimum,has_minItems,has_minimum,18,77,0.189474,21,99,24,132,0.875,0.75,1.16667,0.125,true
has_pattern__AND__has_required,has_pattern,has_required,34,61,0.357895,44,76,52,104,0.846154,0.730769,1.15789,0.115385,true
has_enum__AND__has_maximum,has_enum,has_maximum,17,78,0.178947,19,101,22,134,0.863636,0.753731,1.14581,0.109905,true
has_maxLength__AND__has_minimum,has_maxLength,has_minimum,14,81,0.147368,19,101,22,134,0.863636,0.753731,1.14581,0.109905,true
has_maximum__AND__has_required,has_maximum,has_required,16,79,0.168421,17,103,20,136,0.85,0.757353,1.12233,0.0926471,true
has_defs__AND__has_maximum,has_defs,has_maximum,14,81,0.147368,17,103,20,136,0.85,0.757353,1.12233,0.0926471,true
has_maximum__AND__has_ref,has_maximum,has_ref,14,81,0.147368,17,103,20,136,0.85,0.757353,1.12233,0.0926471,true
has_minimum__AND__has_oneOf,has_minimum,has_oneOf,14,81,0.147368,17,103,20,136,0.85,0.757353,1.12233,0.0926471,true
has_additionalProperties__AND__has_pattern,has_additionalProperties,has_pattern,30,65,0.315789,39,81,47,109,0.829787,0.743119,1.11663,0.086668,true
has_oneOf__AND__has_pattern,has_oneOf,has_pattern,19,76,0.2,26,94,31,125,0.83871,0.752,1.11531,0.0867097,true
has_items__AND__has_pattern,has_items,has_pattern,36,59,0.378947,46,74,56,100,0.821429,0.74,1.11004,0.0814286,true
has_pattern__AND__has_properties,has_pattern,has_properties,36,59,0.378947,46,74,56,100,0.821429,0.74,1.11004,0.0814286,true
has_pattern__AND__has_type,has_pattern,has_type,36,59,0.378947,46,74,56,100,0.821429,0.74,1.11004,0.0814286,true
has_boolean_schema__AND__has_pattern,has_boolean_schema,has_pattern,29,66,0.305263,38,82,46,110,0.826087,0.745455,1.10817,0.0806324,true
has_additionalProperties__AND__has_minimum,has_additionalProperties,has_minimum,20,75,0.210526,25,95,30,126,0.833333,0.753968,1.10526,0.0793651,true
has_boolean_schema__AND__has_minimum,has_boolean_schema,has_minimum,19,76,0.2,23,97,28,128,0.821429,0.757812,1.08395,0.0636161,true
has_enum__AND__has_pattern,has_enum,has_pattern,33,62,0.347368,41,79,51,105,0.803922,0.752381,1.0685,0.0515406,true
has_items__AND__has_maximum,has_items,has_maximum,19,76,0.2,21,99,26,130,0.807692,0.761538,1.06061,0.0461538,true
has_maximum__AND__has_minimum,has_maximum,has_minimum,19,76,0.2,21,99,26,130,0.807692,0.761538,1.06061,0.0461538,true
