feature_pair,feature_a,feature_b,n_schemas,support,timeout_rate,under_rate,over_rate
has_items__AND__has_maximum,has_items,has_maximum,187,0.0377016,0.15508,0.226296,0.356322
has_additionalProperties__AND__has_pattern,has_additionalProperties,has_pattern,755,0.152218,0.154967,0.14609,0.254726
has_maximum__AND__has_oneOf,has_maximum,has_oneOf,65,0.0131048,0.138462,0.168776,0.635417
has_enum__AND__has_minimum,has_enum,has_minimum,350,0.0705645,0.137143,0.217702,0.357143
has_maximum__AND__has_minimum,has_maximum,has_minimum,346,0.0697581,0.135838,0.257206,0.303279
has_maximum__AND__has_properties,has_maximum,has_properties,347,0.0699597,0.135447,0.265934,0.30426
has_minimum__AND__has_patternProperties,has_minimum,has_patternProperties,82,0.0165323,0.134146,0.0617284,0.90625
has_maximum__AND__has_required,has_maximum,has_required,299,0.0602823,0.133779,0.255,0.315294
has_maximum__AND__has_type,has_maximum,has_type,352,0.0709677,0.133523,0.262283,0.301205
has_pattern__AND__has_type,has_pattern,has_type,1133,0.228427,0.132392,0.136354,0.255442
has_pattern__AND__has_properties,has_pattern,has_properties,1122,0.22621,0.131907,0.137734,0.256922
has_items__AND__has_pattern,has_items,has_pattern,740,0.149194,0.12973,0.124684,0.285156
has_pattern__AND__has_required,has_pattern,has_required,924,0.18629,0.122294,0.139633,0.279377
has_oneOf__AND__has_patternProperties,has_oneOf,has_patternProperties,115,0.0231855,0.121739,0.0783848,0.885057
has_boolean_schema__AND__has_minimum,has_boolean_schema,has_minimum,378,0.0762097,0.121693,0.22453,0.291667
has_boolean_schema__AND__has_patternProperties,has_boolean_schema,has_patternProperties,245,0.0493952,0.118367,0.0854139,0.866667
has_additionalProperties__AND__has_minimum,has_additionalProperties,has_minimum,392,0.0790323,0.117347,0.217016,0.303819
has_additionalProperties__AND__has_patternProperties,has_additionalProperties,has_patternProperties,250,0.0504032,0.116,0.087013,0.861257
has_default__AND__has_pattern,has_default,has_pattern,341,0.06875,0.105572,0.124594,0.185654
has_maximum__AND__has_minItems,has_maximum,has_minItems,76,0.0153226,0.105263,0.317585,0.307018
has_boolean_schema__AND__has_oneOf,has_boolean_schema,has_oneOf,334,0.0673387,0.10479,0.176974,0.436149
has_patternProperties__AND__has_properties,has_patternProperties,has_properties,291,0.0586694,0.103093,0.0776256,0.862144
has_additionalProperties__AND__has_oneOf,has_additionalProperties,has_oneOf,343,0.0691532,0.102041,0.175978,0.441065
has_enum__AND__has_oneOf,has_enum,has_oneOf,319,0.0643145,0.100313,0.197095,0.428862
has_maxLength__AND__has_multipleOf,has_maxLength,has_multipleOf,10,0.00201613,0.1,0.395833,0.176471
has_maxItems__AND__has_minItems,has_maxItems,has_minItems,143,0.0288306,0.0979021,0.363002,0.342857
has_maxLength__AND__has_ref,has_maxLength,has_ref,82,0.0165323,0.097561,0.314208,0.293651
has_items__AND__has_patternProperties,has_items,has_patternProperties,206,0.0415323,0.0970874,0.0758017,0.861963
has_patternProperties__AND__has_type,has_patternProperties,has_type,313,0.0631048,0.0958466,0.0747253,0.869121
has_minimum__AND__has_oneOf,has_minimum,has_oneOf,115,0.0231855,0.0956522,0.192857,0.535519
has_minItems__AND__has_not,has_minItems,has_not,21,0.00423387,0.0952381,0.576087,0.4
has_items__AND__has_minimum,has_items,has_minimum,379,0.0764113,0.0949868,0.204638,0.329897
has_defs__AND__has_maxLength,has_defs,has_maxLength,86,0.0173387,0.0930233,0.30343,0.292308
has_boolean_schema__AND__has_enum,has_boolean_schema,has_enum,1015,0.204637,0.0926108,0.145273,0.230143
has_default__AND__has_patternProperties,has_default,has_patternProperties,54,0.0108871,0.0925926,0.108434,0.813187
has_patternProperties__AND__has_required,has_patternProperties,has_required,242,0.0487903,0.0909091,0.0738854,0.868895
has_minItems__AND__has_minLength,has_minItems,has_minLength,176,0.0354839,0.0909091,0.245033,0.384058
has_allOf__AND__has_maxItems,has_allOf,has_maxItems,11,0.00221774,0.0909091,0.6,0.266667
has_maximum__AND__has_multipleOf,has_maximum,has_multipleOf,11,0.00221774,0.0909091,0.355556,0.277778
has_minLength__AND__has_multipleOf,has_minLength,has_multipleOf,11,0.00221774,0.0909091,0.385965,0.263158
has_additionalProperties__AND__has_enum,has_additionalProperties,has_enum,1044,0.210484,0.0900383,0.143011,0.238874
has_items__AND__has_oneOf,has_items,has_oneOf,384,0.0774194,0.0859375,0.187713,0.440323
has_enum__AND__has_items,has_enum,has_items,1070,0.215726,0.0757009,0.147745,0.28281
has_default__AND__has_minimum,has_default,has_minimum,278,0.0560484,0.0755396,0.386766,0.244755
has_oneOf__AND__has_properties,has_oneOf,has_properties,497,0.100202,0.0744467,0.191955,0.401525
has_not__AND__has_pattern,has_not,has_pattern,27,0.00544355,0.0740741,0.395833,0.435897
has_boolean_schema__AND__has_minItems,has_boolean_schema,has_minItems,312,0.0629032,0.0737179,0.318519,0.306418
has_oneOf__AND__has_type,has_oneOf,has_type,502,0.10121,0.0737052,0.190476,0.402516
