feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,timeout_with_pair,timeout_without_pair,timeout_denominator_with,timeout_denominator_without,timeout_rate_with,timeout_rate_without,lift,delta,eligible_lift
has_additionalProperties__AND__has_items,has_additionalProperties,has_items,271,1518,0.151481,5,19,271,1518,0.0184502,0.0125165,1.47407,0.00593372,true
has_items__AND__has_minimum,has_items,has_minimum,52,1737,0.0290665,1,23,52,1737,0.0192308,0.0132412,1.45234,0.00598955,true
has_maximum__AND__has_required,has_maximum,has_required,54,1735,0.0301845,1,23,54,1735,0.0185185,0.0132565,1.39694,0.00526203,true
has_pattern__AND__has_required,has_pattern,has_required,172,1617,0.0961431,3,21,172,1617,0.0174419,0.012987,1.34302,0.00445485,true
has_enum__AND__has_required,has_enum,has_required,307,1482,0.171604,5,19,307,1482,0.0162866,0.0128205,1.27036,0.00346613,true
has_minimum__AND__has_properties,has_minimum,has_properties,193,1596,0.107881,3,21,193,1596,0.015544,0.0131579,1.18135,0.00238615,true
has_minimum__AND__has_type,has_minimum,has_type,195,1594,0.108999,3,21,195,1594,0.0153846,0.0131744,1.16777,0.00221021,true
has_items__AND__has_pattern,has_items,has_pattern,69,1720,0.038569,1,23,69,1720,0.0144928,0.0133721,1.08381,0.00112066,true
has_minimum__AND__has_required,has_minimum,has_required,151,1638,0.0844047,2,22,151,1638,0.013245,0.013431,0.986153,-0.00018598,true
has_items__AND__has_properties,has_items,has_properties,568,1221,0.317496,5,19,568,1221,0.00880282,0.015561,0.565697,-0.0067582,true
has_items__AND__has_type,has_items,has_type,574,1215,0.32085,5,19,574,1215,0.0087108,0.0156379,0.557033,-0.00692706,true
has_required__AND__has_type,has_required,has_type,1281,508,0.716042,13,11,1281,508,0.0101483,0.0216535,0.468668,-0.0115052,true
has_properties__AND__has_required,has_properties,has_required,1282,507,0.716601,13,11,1282,507,0.0101404,0.0216963,0.467381,-0.0115558,true
has_items__AND__has_required,has_items,has_required,425,1364,0.237563,3,21,425,1364,0.00705882,0.0153959,0.458487,-0.00833707,true
has_anyOf__AND__has_maxLength,has_anyOf,has_maxLength,5,1784,0.00279486,0,24,5,1784,0,0.0134529,0,-0.0134529,true
has_anyOf__AND__has_minimum,has_anyOf,has_minimum,5,1784,0.00279486,0,24,5,1784,0,0.0134529,0,-0.0134529,true
has_default__AND__has_oneOf,has_default,has_oneOf,5,1784,0.00279486,0,24,5,1784,0,0.0134529,0,-0.0134529,true
has_defs__AND__has_maxItems,has_defs,has_maxItems,5,1784,0.00279486,0,24,5,1784,0,0.0134529,0,-0.0134529,true
has_enum__AND__has_not,has_enum,has_not,5,1784,0.00279486,0,24,5,1784,0,0.0134529,0,-0.0134529,true
has_maxItems__AND__has_minimum,has_maxItems,has_minimum,5,1784,0.00279486,0,24,5,1784,0,0.0134529,0,-0.0134529,true
has_maxItems__AND__has_ref,has_maxItems,has_ref,5,1784,0.00279486,0,24,5,1784,0,0.0134529,0,-0.0134529,true
has_minProperties__AND__has_pattern,has_minProperties,has_pattern,5,1784,0.00279486,0,24,5,1784,0,0.0134529,0,-0.0134529,true
has_not__AND__has_properties,has_not,has_properties,5,1784,0.00279486,0,24,5,1784,0,0.0134529,0,-0.0134529,true
has_not__AND__has_type,has_not,has_type,5,1784,0.00279486,0,24,5,1784,0,0.0134529,0,-0.0134529,true
has_allOf__AND__has_enum,has_allOf,has_enum,6,1783,0.00335383,0,24,6,1783,0,0.0134605,0,-0.0134605,true
has_allOf__AND__has_oneOf,has_allOf,has_oneOf,6,1783,0.00335383,0,24,6,1783,0,0.0134605,0,-0.0134605,true
has_anyOf__AND__has_patternProperties,has_anyOf,has_patternProperties,6,1783,0.00335383,0,24,6,1783,0,0.0134605,0,-0.0134605,true
has_boolean_schema__AND__has_const,has_boolean_schema,has_const,6,1783,0.00335383,0,24,6,1783,0,0.0134605,0,-0.0134605,true
