feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,over_with_pair,over_without_pair,over_denominator_with,over_denominator_without,over_rate_with,over_rate_without,lift,delta,eligible_lift
has_items__AND__has_maxProperties,has_items,has_maxProperties,8,87,0.0842105,14,44,14,144,1,0.305556,3.27273,0.694444,false
has_items__AND__has_minProperties,has_items,has_minProperties,8,87,0.0842105,14,44,14,144,1,0.305556,3.27273,0.694444,false
has_maxProperties__AND__has_minProperties,has_maxProperties,has_minProperties,8,87,0.0842105,14,44,14,144,1,0.305556,3.27273,0.694444,false
has_maxProperties__AND__has_oneOf,has_maxProperties,has_oneOf,8,87,0.0842105,14,44,14,144,1,0.305556,3.27273,0.694444,false
has_maxProperties__AND__has_pattern,has_maxProperties,has_pattern,8,87,0.0842105,14,44,14,144,1,0.305556,3.27273,0.694444,false
has_maxProperties__AND__has_properties,has_maxProperties,has_properties,8,87,0.0842105,14,44,14,144,1,0.305556,3.27273,0.694444,false
has_maxProperties__AND__has_ref,has_maxProperties,has_ref,8,87,0.0842105,14,44,14,144,1,0.305556,3.27273,0.694444,false
has_maxProperties__AND__has_required,has_maxProperties,has_required,8,87,0.0842105,14,44,14,144,1,0.305556,3.27273,0.694444,false
has_maxProperties__AND__has_type,has_maxProperties,has_type,8,87,0.0842105,14,44,14,144,1,0.305556,3.27273,0.694444,false
has_minProperties__AND__has_oneOf,has_minProperties,has_oneOf,8,87,0.0842105,14,44,14,144,1,0.305556,3.27273,0.694444,false
has_minProperties__AND__has_pattern,has_minProperties,has_pattern,8,87,0.0842105,14,44,14,144,1,0.305556,3.27273,0.694444,false
has_minProperties__AND__has_properties,has_minProperties,has_properties,8,87,0.0842105,14,44,14,144,1,0.305556,3.27273,0.694444,false
has_minProperties__AND__has_ref,has_minProperties,has_ref,8,87,0.0842105,14,44,14,144,1,0.305556,3.27273,0.694444,false
has_minProperties__AND__has_required,has_minProperties,has_required,8,87,0.0842105,14,44,14,144,1,0.305556,3.27273,0.694444,false
has_minProperties__AND__has_type,has_minProperties,has_type,8,87,0.0842105,14,44,14,144,1,0.305556,3.27273,0.694444,false
has_minimum__AND__has_patternProperties,has_minimum,has_patternProperties,5,90,0.0526316,8,50,8,150,1,0.333333,3,0.666667,false
has_additionalProperties__AND__has_exclusiveMaximum,has_additionalProperties,has_exclusiveMaximum,3,92,0.0315789,5,53,5,153,1,0.346405,2.88679,0.653595,false
has_boolean_schema__AND__has_exclusiveMaximum,has_boolean_schema,has_exclusiveMaximum,3,92,0.0315789,5,53,5,153,1,0.346405,2.88679,0.653595,false
has_enum__AND__has_exclusiveMaximum,has_enum,has_exclusiveMaximum,3,92,0.0315789,5,53,5,153,1,0.346405,2.88679,0.653595,false
has_exclusiveMaximum__AND__has_items,has_exclusiveMaximum,has_items,3,92,0.0315789,5,53,5,153,1,0.346405,2.88679,0.653595,false
has_exclusiveMaximum__AND__has_maxItems,has_exclusiveMaximum,has_maxItems,3,92,0.0315789,5,53,5,153,1,0.346405,2.88679,0.653595,false
has_exclusiveMaximum__AND__has_maxLength,has_exclusiveMaximum,has_maxLength,3,92,0.0315789,5,53,5,153,1,0.346405,2.88679,0.653595,false
has_exclusiveMaximum__AND__has_minItems,has_exclusiveMaximum,has_minItems,3,92,0.0315789,5,53,5,153,1,0.346405,2.88679,0.653595,false
has_exclusiveMaximum__AND__has_minLength,has_exclusiveMaximum,has_minLength,3,92,0.0315789,5,53,5,153,1,0.346405,2.88679,0.653595,false
has_exclusiveMaximum__AND__has_minimum,has_exclusiveMaximum,has_minimum,3,92,0.0315789,5,53,5,153,1,0.346405,2.88679,0.653595,false
has_exclusiveMaximum__AND__has_pattern,has_exclusiveMaximum,has_pattern,3,92,0.0315789,5,53,5,153,1,0.346405,2.88679,0.653595,false
has_exclusiveMaximum__AND__has_properties,has_exclusiveMaximum,has_properties,3,92,0.0315789,5,53,5,153,1,0.346405,2.88679,0.653595,false
has_exclusiveMaximum__AND__has_required,has_exclusiveMaximum,has_required,3,92,0.0315789,5,53,5,153,1,0.346405,2.88679,0.653595,false
has_exclusiveMaximum__AND__has_type,has_exclusiveMaximum,has_type,3,92,0.0315789,5,53,5,153,1,0.346405,2.88679,0.653595,false
has_default__AND__has_minLength,has_default,has_minLength,1,94,0.0105263,2,56,2,156,1,0.358974,2.78571,0.641026,false
has_minLength__AND__has_patternProperties,has_minLength,has_patternProperties,1,94,0.0105263,2,56,2,156,1,0.358974,2.78571,0.641026,false
has_default__AND__has_patternProperties,has_default,has_patternProperties,5,90,0.0526316,7,51,8,150,0.875,0.34,2.57353,0.535,false
has_minItems__AND__has_patternProperties,has_minItems,has_patternProperties,5,90,0.0526316,7,51,8,150,0.875,0.34,2.57353,0.535,false
has_defs__AND__has_patternProperties,has_defs,has_patternProperties,7,88,0.0736842,8,50,10,148,0.8,0.337838,2.368,0.462162,false
