feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,under_with_pair,under_without_pair,under_denominator_with,under_denominator_without,under_rate_with,under_rate_without,lift,delta,eligible_lift
has_if_then_else__AND__has_oneOf,has_if_then_else,has_oneOf,1,1822,0.000548546,0,985,5,5476,0,0.179876,0,-0.179876,false
has_default__AND__has_maxProperties,has_default,has_maxProperties,3,1820,0.00164564,0,985,6,5475,0,0.179909,0,-0.179909,false
has_defs__AND__has_propertyNames,has_defs,has_propertyNames,2,1821,0.00109709,0,985,6,5475,0,0.179909,0,-0.179909,false
has_items__AND__has_propertyNames,has_items,has_propertyNames,2,1821,0.00109709,0,985,6,5475,0,0.179909,0,-0.179909,false
has_propertyNames__AND__has_ref,has_propertyNames,has_ref,2,1821,0.00109709,0,985,6,5475,0,0.179909,0,-0.179909,false
has_allOf__AND__has_minProperties,has_allOf,has_minProperties,1,1822,0.000548546,0,985,6,5475,0,0.179909,0,-0.179909,false
has_maxProperties__AND__has_maximum,has_maxProperties,has_maximum,1,1822,0.000548546,0,985,6,5475,0,0.179909,0,-0.179909,false
has_maxProperties__AND__has_minimum,has_maxProperties,has_minimum,1,1822,0.000548546,0,985,6,5475,0,0.179909,0,-0.179909,false
has_if_then_else__AND__has_patternProperties,has_if_then_else,has_patternProperties,2,1821,0.00109709,0,985,7,5474,0,0.179942,0,-0.179942,false
has_if_then_else__AND__has_ref,has_if_then_else,has_ref,2,1821,0.00109709,0,985,7,5474,0,0.179942,0,-0.179942,false
has_maxProperties__AND__has_patternProperties,has_maxProperties,has_patternProperties,2,1821,0.00109709,0,985,7,5474,0,0.179942,0,-0.179942,false
has_boolean_schema__AND__has_propertyNames,has_boolean_schema,has_propertyNames,1,1822,0.000548546,0,985,7,5474,0,0.179942,0,-0.179942,false
has_minProperties__AND__has_propertyNames,has_minProperties,has_propertyNames,1,1822,0.000548546,0,985,7,5474,0,0.179942,0,-0.179942,false
