feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,under_with_pair,under_without_pair,under_denominator_with,under_denominator_without,under_rate_with,under_rate_without,lift,delta,eligible_lift
has_allOf__AND__has_maxLength,has_allOf,has_maxLength,1,364,0.00273973,0,70,0,756,0,0.0925926,0,-0.0925926,false
has_allOf__AND__has_minLength,has_allOf,has_minLength,1,364,0.00273973,0,70,0,756,0,0.0925926,0,-0.0925926,false
has_defs__AND__has_maxLength,has_defs,has_maxLength,1,364,0.00273973,0,70,0,756,0,0.0925926,0,-0.0925926,false
has_defs__AND__has_minLength,has_defs,has_minLength,1,364,0.00273973,0,70,0,756,0,0.0925926,0,-0.0925926,false
has_enum__AND__has_maxItems,has_enum,has_maxItems,1,364,0.00273973,0,70,0,756,0,0.0925926,0,-0.0925926,false
has_maxItems__AND__has_maxLength,has_maxItems,has_maxLength,1,364,0.00273973,0,70,0,756,0,0.0925926,0,-0.0925926,false
has_maxItems__AND__has_minLength,has_maxItems,has_minLength,1,364,0.00273973,0,70,0,756,0,0.0925926,0,-0.0925926,false
has_enum__AND__has_maxLength,has_enum,has_maxLength,2,363,0.00547945,0,70,1,755,0,0.0927152,0,-0.0927152,false
has_anyOf__AND__has_maximum,has_anyOf,has_maximum,1,364,0.00273973,0,70,2,754,0,0.0928382,0,-0.0928382,false
has_anyOf__AND__has_minimum,has_anyOf,has_minimum,1,364,0.00273973,0,70,2,754,0,0.0928382,0,-0.0928382,false
has_not__AND__has_pattern,has_not,has_pattern,1,364,0.00273973,0,70,2,754,0,0.0928382,0,-0.0928382,false
has_patternProperties__AND__has_ref,has_patternProperties,has_ref,1,364,0.00273973,0,70,2,754,0,0.0928382,0,-0.0928382,false
has_boolean_schema__AND__has_minProperties,has_boolean_schema,has_minProperties,2,363,0.00547945,0,70,3,753,0,0.0929615,0,-0.0929615,false
has_minProperties__AND__has_patternProperties,has_minProperties,has_patternProperties,2,363,0.00547945,0,70,3,753,0,0.0929615,0,-0.0929615,false
has_maxItems__AND__has_maximum,has_maxItems,has_maximum,1,364,0.00273973,0,70,3,753,0,0.0929615,0,-0.0929615,false
has_maxItems__AND__has_minimum,has_maxItems,has_minimum,1,364,0.00273973,0,70,3,753,0,0.0929615,0,-0.0929615,false
has_maximum__AND__has_minItems,has_maximum,has_minItems,1,364,0.00273973,0,70,3,753,0,0.0929615,0,-0.0929615,false
has_minItems__AND__has_minimum,has_minItems,has_minimum,1,364,0.00273973,0,70,3,753,0,0.0929615,0,-0.0929615,false
has_minLength__AND__has_minProperties,has_minLength,has_minProperties,1,364,0.00273973,0,70,3,753,0,0.0929615,0,-0.0929615,false
