feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,over_with_pair,over_without_pair,over_denominator_with,over_denominator_without,over_rate_with,over_rate_without,lift,delta,eligible_lift
has_maxLength__AND__has_patternProperties,has_maxLength,has_patternProperties,2,363,0.00547945,4,55,4,451,1,0.121951,8.2,0.878049,false
has_boolean_schema__AND__has_minProperties,has_boolean_schema,has_minProperties,2,363,0.00547945,3,56,3,452,1,0.123894,8.07143,0.876106,false
has_minProperties__AND__has_patternProperties,has_minProperties,has_patternProperties,2,363,0.00547945,3,56,3,452,1,0.123894,8.07143,0.876106,false
has_minLength__AND__has_minProperties,has_minLength,has_minProperties,1,364,0.00273973,2,57,2,453,1,0.125828,7.94737,0.874172,false
has_minLength__AND__has_minimum,has_minLength,has_minimum,1,364,0.00273973,2,57,2,453,1,0.125828,7.94737,0.874172,false
has_patternProperties__AND__has_ref,has_patternProperties,has_ref,1,364,0.00273973,2,57,2,453,1,0.125828,7.94737,0.874172,false
has_patternProperties__AND__has_properties,has_patternProperties,has_properties,5,360,0.0136986,7,52,8,447,0.875,0.116331,7.52163,0.758669,false
has_additionalProperties__AND__has_minProperties,has_additionalProperties,has_minProperties,3,362,0.00821918,3,56,5,450,0.6,0.124444,4.82143,0.475556,false
has_minProperties__AND__has_type,has_minProperties,has_type,3,362,0.00821918,3,56,5,450,0.6,0.124444,4.82143,0.475556,false
has_items__AND__has_minimum,has_items,has_minimum,3,362,0.00821918,2,57,4,451,0.5,0.126386,3.95614,0.373614,false
has_maxLength__AND__has_pattern,has_maxLength,has_pattern,3,362,0.00821918,2,57,4,451,0.5,0.126386,3.95614,0.373614,false
has_enum__AND__has_minimum,has_enum,has_minimum,2,363,0.00547945,2,57,4,451,0.5,0.126386,3.95614,0.373614,false
has_minLength__AND__has_oneOf,has_minLength,has_oneOf,11,354,0.030137,7,52,15,440,0.466667,0.118182,3.94872,0.348485,false
has_maxLength__AND__has_oneOf,has_maxLength,has_oneOf,7,358,0.0191781,4,55,9,446,0.444444,0.123318,3.60404,0.321126,false
has_additionalProperties__AND__has_minLength,has_additionalProperties,has_minLength,13,352,0.0356164,7,52,17,438,0.411765,0.118721,3.46833,0.293043,false
has_boolean_schema__AND__has_minLength,has_boolean_schema,has_minLength,13,352,0.0356164,7,52,17,438,0.411765,0.118721,3.46833,0.293043,false
has_minLength__AND__has_pattern,has_minLength,has_pattern,5,360,0.0136986,3,56,7,448,0.428571,0.125,3.42857,0.303571,false
has_maxLength__AND__has_minLength,has_maxLength,has_minLength,8,357,0.0219178,4,55,10,445,0.4,0.123596,3.23636,0.276404,false
has_items__AND__has_maxLength,has_items,has_maxLength,4,361,0.0109589,2,57,5,450,0.4,0.126667,3.15789,0.273333,false
has_maxItems__AND__has_properties,has_maxItems,has_properties,4,361,0.0109589,2,57,5,450,0.4,0.126667,3.15789,0.273333,false
has_maxItems__AND__has_type,has_maxItems,has_type,5,360,0.0136986,2,57,6,449,0.333333,0.126949,2.62573,0.206385,false
has_minimum__AND__has_oneOf,has_minimum,has_oneOf,4,361,0.0109589,2,57,6,449,0.333333,0.126949,2.62573,0.206385,false
has_items__AND__has_minLength,has_items,has_minLength,9,356,0.0246575,4,55,13,442,0.307692,0.124434,2.47273,0.183258,false
has_additionalProperties__AND__has_maxLength,has_additionalProperties,has_maxLength,14,351,0.0383562,4,55,14,441,0.285714,0.124717,2.29091,0.160998,false
has_boolean_schema__AND__has_maxLength,has_boolean_schema,has_maxLength,14,351,0.0383562,4,55,14,441,0.285714,0.124717,2.29091,0.160998,false
has_not__AND__has_required,has_not,has_required,6,359,0.0164384,2,57,7,448,0.285714,0.127232,2.24561,0.158482,false
has_enum__AND__has_minLength,has_enum,has_minLength,5,360,0.0136986,2,57,7,448,0.285714,0.127232,2.24561,0.158482,false
