feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,timeout_with_pair,timeout_without_pair,timeout_denominator_with,timeout_denominator_without,timeout_rate_with,timeout_rate_without,lift,delta,eligible_lift
has_minimum__AND__has_required,has_minimum,has_required,9,356,0.0246575,0,5,9,356,0,0.0140449,0,-0.0140449,true
has_oneOf__AND__has_pattern,has_oneOf,has_pattern,9,356,0.0246575,0,5,9,356,0,0.0140449,0,-0.0140449,true
has_additionalProperties__AND__has_pattern,has_additionalProperties,has_pattern,10,355,0.0273973,0,5,10,355,0,0.0140845,0,-0.0140845,true
has_boolean_schema__AND__has_pattern,has_boolean_schema,has_pattern,10,355,0.0273973,0,5,10,355,0,0.0140845,0,-0.0140845,true
has_default__AND__has_required,has_default,has_required,10,355,0.0273973,0,5,10,355,0,0.0140845,0,-0.0140845,true
has_defs__AND__has_ref,has_defs,has_ref,10,355,0.0273973,0,5,10,355,0,0.0140845,0,-0.0140845,true
has_items__AND__has_pattern,has_items,has_pattern,10,355,0.0273973,0,5,10,355,0,0.0140845,0,-0.0140845,true
has_ref__AND__has_type,has_ref,has_type,10,355,0.0273973,0,5,10,355,0,0.0140845,0,-0.0140845,true
has_allOf__AND__has_items,has_allOf,has_items,11,354,0.030137,0,5,11,354,0,0.0141243,0,-0.0141243,true
has_minLength__AND__has_oneOf,has_minLength,has_oneOf,11,354,0.030137,0,5,11,354,0,0.0141243,0,-0.0141243,true
has_additionalProperties__AND__has_patternProperties,has_additionalProperties,has_patternProperties,12,353,0.0328767,0,5,12,353,0,0.0141643,0,-0.0141643,true
has_boolean_schema__AND__has_patternProperties,has_boolean_schema,has_patternProperties,12,353,0.0328767,0,5,12,353,0,0.0141643,0,-0.0141643,true
has_minItems__AND__has_properties,has_minItems,has_properties,12,353,0.0328767,0,5,12,353,0,0.0141643,0,-0.0141643,true
has_additionalProperties__AND__has_allOf,has_additionalProperties,has_allOf,13,352,0.0356164,0,5,13,352,0,0.0142045,0,-0.0142045,true
has_additionalProperties__AND__has_minLength,has_additionalProperties,has_minLength,13,352,0.0356164,0,5,13,352,0,0.0142045,0,-0.0142045,true
has_boolean_schema__AND__has_minLength,has_boolean_schema,has_minLength,13,352,0.0356164,0,5,13,352,0,0.0142045,0,-0.0142045,true
has_defs__AND__has_items,has_defs,has_items,13,352,0.0356164,0,5,13,352,0,0.0142045,0,-0.0142045,true
has_minimum__AND__has_properties,has_minimum,has_properties,13,352,0.0356164,0,5,13,352,0,0.0142045,0,-0.0142045,true
has_allOf__AND__has_boolean_schema,has_allOf,has_boolean_schema,14,351,0.0383562,0,5,14,351,0,0.014245,0,-0.014245,true
has_allOf__AND__has_defs,has_allOf,has_defs,14,351,0.0383562,0,5,14,351,0,0.014245,0,-0.014245,true
has_anyOf__AND__has_required,has_anyOf,has_required,14,351,0.0383562,0,5,14,351,0,0.014245,0,-0.014245,true
has_defs__AND__has_enum,has_defs,has_enum,14,351,0.0383562,0,5,14,351,0,0.014245,0,-0.014245,true
has_items__AND__has_minItems,has_items,has_minItems,14,351,0.0383562,0,5,14,351,0,0.014245,0,-0.014245,true
has_items__AND__has_oneOf,has_items,has_oneOf,15,350,0.0410959,0,5,15,350,0,0.0142857,0,-0.0142857,true
has_minItems__AND__has_type,has_minItems,has_type,15,350,0.0410959,0,5,15,350,0,0.0142857,0,-0.0142857,true
has_pattern__AND__has_required,has_pattern,has_required,15,350,0.0410959,0,5,15,350,0,0.0142857,0,-0.0142857,true
has_additionalProperties__AND__has_defs,has_additionalProperties,has_defs,16,349,0.0438356,0,5,16,349,0,0.0143266,0,-0.0143266,true
has_allOf__AND__has_enum,has_allOf,has_enum,16,349,0.0438356,0,5,16,349,0,0.0143266,0,-0.0143266,true
has_boolean_schema__AND__has_defs,has_boolean_schema,has_defs,16,349,0.0438356,0,5,16,349,0,0.0143266,0,-0.0143266,true
has_allOf__AND__has_required,has_allOf,has_required,17,348,0.0465753,0,5,17,348,0,0.0143678,0,-0.0143678,true
has_enum__AND__has_oneOf,has_enum,has_oneOf,17,348,0.0465753,0,5,17,348,0,0.0143678,0,-0.0143678,true
has_defs__AND__has_required,has_defs,has_required,18,347,0.0493151,0,5,18,347,0,0.0144092,0,-0.0144092,true
has_default__AND__has_properties,has_default,has_properties,19,346,0.0520548,0,5,19,346,0,0.0144509,0,-0.0144509,true
