schema_id,dataset_id,schema_path,test_id,test_index,expected_validity,framework_id,framework,actual_result,accepted,result_available,schema_file_bytes,schema_json_chars,instance_json_chars,engine_tokenizer_load_us,engine_init_us,schema_load_us,compile_grammar_us,test_json_dumps_us,tokenize_us,reset_matcher_us,validation_loop_us,compute_mask_us,commit_token_us,max_compute_mask_us,max_commit_token_us,num_tokens,tokens_checked,first_rejected_token_index,error_message,outlines_core_version,schema_serialize_us,regex_build_us,regex_built,regex_chars,regex_bytes,regex_hash,regex_expansion_ratio,regex_num_alternations_proxy,regex_num_groups_proxy,regex_num_repetitions_proxy,regex_max_group_depth_proxy,index_build_us,index_built,guide_init_us,guide_built,total_compile_us,final_status,last_stage,exception_type,exception_message
Github_trivial---o81591.json,Github_trivial,maskbench/data/Github_trivial---o81591.json,Github_trivial---o81591.json::test_00001,1,invalid,outlines,Outlines,failed,True,True,2593,205,15,1201644,681305,595,210818,20,208,5,248,82,146,15,58,8,8,,,0.2.14,16,18,True,78,78,85d0b0ee9140c3e817585bc2c8fe596a5766a6bccdb48338e6f7c6b87aea3abf,0.380487805,1,5,10,2,114206,True,4,True,210818,completed,completed,,
Github_trivial---o81591.json,Github_trivial,maskbench/data/Github_trivial---o81591.json,Github_trivial---o81591.json::test_00002,2,invalid,outlines,Outlines,failed,True,True,2593,205,15,1201644,681305,595,210818,16,159,3,212,67,127,15,57,8,8,,,0.2.14,16,18,True,78,78,85d0b0ee9140c3e817585bc2c8fe596a5766a6bccdb48338e6f7c6b87aea3abf,0.380487805,1,5,10,2,114206,True,4,True,210818,completed,completed,,
Github_trivial---o81591.json,Github_trivial,maskbench/data/Github_trivial---o81591.json,Github_trivial---o81591.json::test_00003,3,invalid,outlines,Outlines,failed,True,True,2593,205,15,1201644,681305,595,210818,20,166,4,536,177,331,34,118,8,8,,,0.2.14,16,18,True,78,78,85d0b0ee9140c3e817585bc2c8fe596a5766a6bccdb48338e6f7c6b87aea3abf,0.380487805,1,5,10,2,114206,True,4,True,210818,completed,completed,,
Github_trivial---o81591.json,Github_trivial,maskbench/data/Github_trivial---o81591.json,Github_trivial---o81591.json::test_00004,4,invalid,outlines,Outlines,failed,True,True,2593,205,16,1201644,681305,595,210818,31,322,6,254,83,154,16,58,8,8,,,0.2.14,16,18,True,78,78,85d0b0ee9140c3e817585bc2c8fe596a5766a6bccdb48338e6f7c6b87aea3abf,0.380487805,1,5,10,2,114206,True,4,True,210818,completed,completed,,
Github_trivial---o81745.json,Github_trivial,maskbench/data/Github_trivial---o81745.json,Github_trivial---o81745.json::test_00000,0,valid,outlines,Outlines,passed,True,True,2446,143,11,1213428,670400,507,233225,17,2181,9,46,14,8,10,4,4,4,,,0.2.14,10,13,True,40,40,34dbb011fd54e5183459a0b16d34911645d7e207944dc358ff0e75c5252c3ec3,0.27972028,3,1,0,1,127176,True,7,True,233225,completed,completed,,
Github_trivial---o81745.json,Github_trivial,maskbench/data/Github_trivial---o81745.json,Github_trivial---o81745.json::test_00001,1,invalid,outlines,Outlines,passed,False,True,2446,143,29,1213428,670400,507,233225,15,184,5,21,7,2,7,2,7,1,0,,0.2.14,10,13,True,40,40,34dbb011fd54e5183459a0b16d34911645d7e207944dc358ff0e75c5252c3ec3,0.27972028,3,1,0,1,127176,True,7,True,233225,completed,completed,,
Github_trivial---o81745.json,Github_trivial,maskbench/data/Github_trivial---o81745.json,Github_trivial---o81745.json::test_00002,2,invalid,outlines,Outlines,passed,False,True,2446,143,31,1213428,670400,507,233225,27,296,6,11,5,0,5,0,7,1,0,,0.2.14,10,13,True,40,40,34dbb011fd54e5183459a0b16d34911645d7e207944dc358ff0e75c5252c3ec3,0.27972028,3,1,0,1,127176,True,7,True,233225,completed,completed,,
Github_trivial---o81745.json,Github_trivial,maskbench/data/Github_trivial---o81745.json,Github_trivial---o81745.json::test_00003,3,invalid,outlines,Outlines,passed,False,True,2446,143,32,1213428,670400,507,233225,45,484,9,11,4,1,4,1,9,1,0,,0.2.14,10,13,True,40,40,34dbb011fd54e5183459a0b16d34911645d7e207944dc358ff0e75c5252c3ec3,0.27972028,3,1,0,1,127176,True,7,True,233225,completed,completed,,
Github_trivial---o82284.json,Github_trivial,maskbench/data/Github_trivial---o82284.json,Github_trivial---o82284.json::test_00000,0,valid,outlines,Outlines,passed,True,True,1823,175,20,1214678,657209,780,219803,17,961,5,161,22,109,14,93,10,10,,,0.2.14,12,17,True,69,69,6a57f42ea9fe3af4bcd0c06f2583de5d63e06d5da33090941b5ceea18721c121,0.394285714,0,2,6,2,128149,True,4,True,219803,completed,completed,,
Github_trivial---o82284.json,Github_trivial,maskbench/data/Github_trivial---o82284.json,Github_trivial---o82284.json::test_00001,1,invalid,outlines,Outlines,passed,False,True,1823,175,18,1214678,657209,780,219803,14,197,4,54,33,2,33,2,8,8,7,,0.2.14,12,17,True,69,69,6a57f42ea9fe3af4bcd0c06f2583de5d63e06d5da33090941b5ceea18721c121,0.394285714,0,2,6,2,128149,True,4,True,219803,completed,completed,,
