feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,under_with_pair,under_without_pair,under_denominator_with,under_denominator_without,under_rate_with,under_rate_without,lift,delta,eligible_lift
has_boolean_schema__AND__has_oneOf,has_boolean_schema,has_oneOf,109,1714,0.0597916,0,0,385,5734,0,0,0,0,true
has_maximum__AND__has_minimum,has_maximum,has_minimum,109,1714,0.0597916,0,0,578,5541,0,0,0,0,true
has_oneOf__AND__has_ref,has_oneOf,has_ref,108,1715,0.059243,0,0,340,5779,0,0,0,0,true
has_enum__AND__has_minItems,has_enum,has_minItems,107,1716,0.0586945,0,0,420,5699,0,0,0,0,true
has_maximum__AND__has_required,has_maximum,has_required,95,1728,0.0521119,0,0,495,5624,0,0,0,0,true
has_anyOf__AND__has_properties,has_anyOf,has_properties,92,1731,0.0504663,0,0,396,5723,0,0,0,0,true
has_anyOf__AND__has_type,has_anyOf,has_type,92,1731,0.0504663,0,0,396,5723,0,0,0,0,true
has_patternProperties__AND__has_required,has_patternProperties,has_required,92,1731,0.0504663,0,0,291,5828,0,0,0,0,true
has_defs__AND__has_minItems,has_defs,has_minItems,91,1732,0.0499177,0,0,382,5737,0,0,0,0,true
has_items__AND__has_maxItems,has_items,has_maxItems,90,1733,0.0493692,0,0,441,5678,0,0,0,0,true
has_maxItems__AND__has_properties,has_maxItems,has_properties,90,1733,0.0493692,0,0,441,5678,0,0,0,0,true
has_maxItems__AND__has_type,has_maxItems,has_type,90,1733,0.0493692,0,0,441,5678,0,0,0,0,true
has_additionalProperties__AND__has_patternProperties,has_additionalProperties,has_patternProperties,89,1734,0.0488206,0,0,286,5833,0,0,0,0,true
has_minimum__AND__has_pattern,has_minimum,has_pattern,89,1734,0.0488206,0,0,573,5546,0,0,0,0,true
has_minItems__AND__has_ref,has_minItems,has_ref,88,1735,0.0482721,0,0,368,5751,0,0,0,0,true
has_boolean_schema__AND__has_patternProperties,has_boolean_schema,has_patternProperties,87,1736,0.0477235,0,0,284,5835,0,0,0,0,true
has_anyOf__AND__has_required,has_anyOf,has_required,84,1739,0.0460779,0,0,373,5746,0,0,0,0,true
has_enum__AND__has_maximum,has_enum,has_maximum,72,1751,0.0394953,0,0,400,5719,0,0,0,0,true
has_items__AND__has_patternProperties,has_items,has_patternProperties,71,1752,0.0389468,0,0,234,5885,0,0,0,0,true
has_additionalProperties__AND__has_maximum,has_additionalProperties,has_maximum,70,1753,0.0383982,0,0,386,5733,0,0,0,0,true
has_minLength__AND__has_minimum,has_minLength,has_minimum,70,1753,0.0383982,0,0,412,5707,0,0,0,0,true
has_boolean_schema__AND__has_maxItems,has_boolean_schema,has_maxItems,68,1755,0.0373012,0,0,341,5778,0,0,0,0,true
has_boolean_schema__AND__has_maximum,has_boolean_schema,has_maximum,68,1755,0.0373012,0,0,379,5740,0,0,0,0,true
has_minItems__AND__has_minLength,has_minItems,has_minLength,68,1755,0.0373012,0,0,329,5790,0,0,0,0,true
has_additionalProperties__AND__has_maxItems,has_additionalProperties,has_maxItems,67,1756,0.0367526,0,0,338,5781,0,0,0,0,true
has_anyOf__AND__has_items,has_anyOf,has_items,67,1756,0.0367526,0,0,298,5821,0,0,0,0,true
