feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,under_with_pair,under_without_pair,under_denominator_with,under_denominator_without,under_rate_with,under_rate_without,lift,delta,eligible_lift
has_boolean_schema__AND__has_required,has_boolean_schema,has_required,63,302,0.172603,15,32,130,624,0.115385,0.0512821,2.25,0.0641026,true
has_items__AND__has_pattern,has_items,has_pattern,10,355,0.0273973,6,41,47,707,0.12766,0.0579915,2.20135,0.0696681,true
has_properties__AND__has_type,has_properties,has_type,261,104,0.715068,38,9,499,255,0.0761523,0.0352941,2.15765,0.0408582,true
has_additionalProperties__AND__has_items,has_additionalProperties,has_items,27,338,0.0739726,6,41,48,706,0.125,0.0580737,2.15244,0.0669263,true
has_maxLength__AND__has_type,has_maxLength,has_type,22,343,0.060274,6,41,48,706,0.125,0.0580737,2.15244,0.0669263,true
has_pattern__AND__has_type,has_pattern,has_type,33,332,0.090411,14,33,129,625,0.108527,0.0528,2.05544,0.0557271,true
has_boolean_schema__AND__has_items,has_boolean_schema,has_items,28,337,0.0767123,6,41,51,703,0.117647,0.0583215,2.01722,0.0593256,true
has_additionalProperties__AND__has_oneOf,has_additionalProperties,has_oneOf,21,344,0.0575342,7,40,62,692,0.112903,0.0578035,1.95323,0.0550998,true
has_boolean_schema__AND__has_oneOf,has_boolean_schema,has_oneOf,22,343,0.060274,7,40,65,689,0.107692,0.0580552,1.855,0.0496372,true
has_allOf__AND__has_properties,has_allOf,has_properties,20,345,0.0547945,3,44,28,726,0.107143,0.0606061,1.76786,0.0465368,true
has_properties__AND__has_required,has_properties,has_required,139,226,0.380822,23,24,274,480,0.0839416,0.05,1.67883,0.0339416,true
has_required__AND__has_type,has_required,has_type,139,226,0.380822,23,24,274,480,0.0839416,0.05,1.67883,0.0339416,true
has_additionalProperties__AND__has_properties,has_additionalProperties,has_properties,97,268,0.265753,17,30,193,561,0.0880829,0.0534759,1.64715,0.034607,true
has_items__AND__has_required,has_items,has_required,33,332,0.090411,6,41,63,691,0.0952381,0.0593343,1.60511,0.0359038,true
has_boolean_schema__AND__has_properties,has_boolean_schema,has_properties,98,267,0.268493,17,30,198,556,0.0858586,0.0539568,1.59125,0.0319018,true
has_minLength__AND__has_required,has_minLength,has_required,19,346,0.0520548,4,43,42,712,0.0952381,0.0603933,1.57697,0.0348448,true
has_allOf__AND__has_type,has_allOf,has_type,21,344,0.0575342,3,44,33,721,0.0909091,0.0610264,1.48967,0.0298827,true
has_additionalProperties__AND__has_boolean_schema,has_additionalProperties,has_boolean_schema,109,256,0.29863,17,30,213,541,0.0798122,0.0554529,1.43928,0.0243593,true
has_additionalProperties__AND__has_minLength,has_additionalProperties,has_minLength,13,352,0.0356164,3,44,35,719,0.0857143,0.0611961,1.40065,0.0245182,true
has_boolean_schema__AND__has_minLength,has_boolean_schema,has_minLength,13,352,0.0356164,3,44,35,719,0.0857143,0.0611961,1.40065,0.0245182,true
