feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,timeout_with_pair,timeout_without_pair,timeout_denominator_with,timeout_denominator_without,timeout_rate_with,timeout_rate_without,lift,delta,eligible_lift
has_additionalProperties__AND__has_minimum,has_additionalProperties,has_minimum,5,360,0.0136986,0,6,5,360,0,0.0166667,0,-0.0166667,true
has_default__AND__has_items,has_default,has_items,5,360,0.0136986,0,6,5,360,0,0.0166667,0,-0.0166667,true
has_default__AND__has_oneOf,has_default,has_oneOf,5,360,0.0136986,0,6,5,360,0,0.0166667,0,-0.0166667,true
has_enum__AND__has_minItems,has_enum,has_minItems,5,360,0.0136986,0,6,5,360,0,0.0166667,0,-0.0166667,true
has_enum__AND__has_minLength,has_enum,has_minLength,5,360,0.0136986,0,6,5,360,0,0.0166667,0,-0.0166667,true
has_minLength__AND__has_pattern,has_minLength,has_pattern,5,360,0.0136986,0,6,5,360,0,0.0166667,0,-0.0166667,true
has_oneOf__AND__has_patternProperties,has_oneOf,has_patternProperties,5,360,0.0136986,0,6,5,360,0,0.0166667,0,-0.0166667,true
has_patternProperties__AND__has_properties,has_patternProperties,has_properties,5,360,0.0136986,0,6,5,360,0,0.0166667,0,-0.0166667,true
has_boolean_schema__AND__has_minimum,has_boolean_schema,has_minimum,6,359,0.0164384,0,6,6,359,0,0.0167131,0,-0.0167131,true
has_minItems__AND__has_oneOf,has_minItems,has_oneOf,6,359,0.0164384,0,6,6,359,0,0.0167131,0,-0.0167131,true
has_not__AND__has_properties,has_not,has_properties,6,359,0.0164384,0,6,6,359,0,0.0167131,0,-0.0167131,true
has_not__AND__has_required,has_not,has_required,6,359,0.0164384,0,6,6,359,0,0.0167131,0,-0.0167131,true
has_enum__AND__has_pattern,has_enum,has_pattern,7,358,0.0191781,0,6,7,358,0,0.0167598,0,-0.0167598,true
has_not__AND__has_type,has_not,has_type,7,358,0.0191781,0,6,7,358,0,0.0167598,0,-0.0167598,true
has_additionalProperties__AND__has_default,has_additionalProperties,has_default,8,357,0.0219178,0,6,8,357,0,0.0168067,0,-0.0168067,true
has_anyOf__AND__has_enum,has_anyOf,has_enum,8,357,0.0219178,0,6,8,357,0,0.0168067,0,-0.0168067,true
has_boolean_schema__AND__has_default,has_boolean_schema,has_default,8,357,0.0219178,0,6,8,357,0,0.0168067,0,-0.0168067,true
has_default__AND__has_enum,has_default,has_enum,8,357,0.0219178,0,6,8,357,0,0.0168067,0,-0.0168067,true
has_maximum__AND__has_minimum,has_maximum,has_minimum,8,357,0.0219178,0,6,8,357,0,0.0168067,0,-0.0168067,true
has_maximum__AND__has_type,has_maximum,has_type,8,357,0.0219178,0,6,8,357,0,0.0168067,0,-0.0168067,true
has_items__AND__has_minLength,has_items,has_minLength,9,356,0.0246575,0,6,9,356,0,0.0168539,0,-0.0168539,true
has_minimum__AND__has_required,has_minimum,has_required,9,356,0.0246575,0,6,9,356,0,0.0168539,0,-0.0168539,true
has_oneOf__AND__has_pattern,has_oneOf,has_pattern,9,356,0.0246575,0,6,9,356,0,0.0168539,0,-0.0168539,true
has_additionalProperties__AND__has_pattern,has_additionalProperties,has_pattern,10,355,0.0273973,0,6,10,355,0,0.0169014,0,-0.0169014,true
has_boolean_schema__AND__has_pattern,has_boolean_schema,has_pattern,10,355,0.0273973,0,6,10,355,0,0.0169014,0,-0.0169014,true
has_default__AND__has_required,has_default,has_required,10,355,0.0273973,0,6,10,355,0,0.0169014,0,-0.0169014,true
has_items__AND__has_pattern,has_items,has_pattern,10,355,0.0273973,0,6,10,355,0,0.0169014,0,-0.0169014,true
has_allOf__AND__has_items,has_allOf,has_items,11,354,0.030137,0,6,11,354,0,0.0169492,0,-0.0169492,true
has_minLength__AND__has_oneOf,has_minLength,has_oneOf,11,354,0.030137,0,6,11,354,0,0.0169492,0,-0.0169492,true
has_additionalProperties__AND__has_patternProperties,has_additionalProperties,has_patternProperties,12,353,0.0328767,0,6,12,353,0,0.0169972,0,-0.0169972,true
has_boolean_schema__AND__has_patternProperties,has_boolean_schema,has_patternProperties,12,353,0.0328767,0,6,12,353,0,0.0169972,0,-0.0169972,true
has_additionalProperties__AND__has_allOf,has_additionalProperties,has_allOf,13,352,0.0356164,0,6,13,352,0,0.0170455,0,-0.0170455,true
has_additionalProperties__AND__has_minLength,has_additionalProperties,has_minLength,13,352,0.0356164,0,6,13,352,0,0.0170455,0,-0.0170455,true
has_boolean_schema__AND__has_minLength,has_boolean_schema,has_minLength,13,352,0.0356164,0,6,13,352,0,0.0170455,0,-0.0170455,true
has_minimum__AND__has_properties,has_minimum,has_properties,13,352,0.0356164,0,6,13,352,0,0.0170455,0,-0.0170455,true
has_allOf__AND__has_boolean_schema,has_allOf,has_boolean_schema,14,351,0.0383562,0,6,14,351,0,0.017094,0,-0.017094,true
has_allOf__AND__has_defs,has_allOf,has_defs,14,351,0.0383562,0,6,14,351,0,0.017094,0,-0.017094,true
has_defs__AND__has_enum,has_defs,has_enum,14,351,0.0383562,0,6,14,351,0,0.017094,0,-0.017094,true
has_items__AND__has_oneOf,has_items,has_oneOf,15,350,0.0410959,0,6,15,350,0,0.0171429,0,-0.0171429,true
has_pattern__AND__has_required,has_pattern,has_required,15,350,0.0410959,0,6,15,350,0,0.0171429,0,-0.0171429,true
has_allOf__AND__has_enum,has_allOf,has_enum,16,349,0.0438356,0,6,16,349,0,0.017192,0,-0.017192,true
has_allOf__AND__has_required,has_allOf,has_required,17,348,0.0465753,0,6,17,348,0,0.0172414,0,-0.0172414,true
has_enum__AND__has_oneOf,has_enum,has_oneOf,17,348,0.0465753,0,6,17,348,0,0.0172414,0,-0.0172414,true
has_default__AND__has_properties,has_default,has_properties,19,346,0.0520548,0,6,19,346,0,0.017341,0,-0.017341,true
has_minLength__AND__has_required,has_minLength,has_required,19,346,0.0520548,0,6,19,346,0,0.017341,0,-0.017341,true
has_allOf__AND__has_properties,has_allOf,has_properties,20,345,0.0547945,0,6,20,345,0,0.0173913,0,-0.0173913,true
has_allOf__AND__has_type,has_allOf,has_type,21,344,0.0575342,0,6,21,344,0,0.0174419,0,-0.0174419,true
has_enum__AND__has_items,has_enum,has_items,21,344,0.0575342,0,6,21,344,0,0.0174419,0,-0.0174419,true
has_minimum__AND__has_type,has_minimum,has_type,21,344,0.0575342,0,6,21,344,0,0.0174419,0,-0.0174419,true
has_pattern__AND__has_properties,has_pattern,has_properties,21,344,0.0575342,0,6,21,344,0,0.0174419,0,-0.0174419,true
has_patternProperties__AND__has_type,has_patternProperties,has_type,21,344,0.0575342,0,6,21,344,0,0.0174419,0,-0.0174419,true
has_additionalProperties__AND__has_enum,has_additionalProperties,has_enum,24,341,0.0657534,0,6,24,341,0,0.0175953,0,-0.0175953,true
has_minLength__AND__has_properties,has_minLength,has_properties,24,341,0.0657534,0,6,24,341,0,0.0175953,0,-0.0175953,true
has_boolean_schema__AND__has_enum,has_boolean_schema,has_enum,25,340,0.0684932,0,6,25,340,0,0.0176471,0,-0.0176471,true
has_default__AND__has_type,has_default,has_type,29,336,0.0794521,0,6,29,336,0,0.0178571,0,-0.0178571,true
has_pattern__AND__has_type,has_pattern,has_type,33,332,0.090411,0,6,33,332,0,0.0180723,0,-0.0180723,true
has_enum__AND__has_required,has_enum,has_required,47,318,0.128767,0,6,47,318,0,0.0188679,0,-0.0188679,true
has_enum__AND__has_properties,has_enum,has_properties,67,298,0.183562,0,6,67,298,0,0.0201342,0,-0.0201342,true
has_enum__AND__has_type,has_enum,has_type,82,283,0.224658,0,6,82,283,0,0.0212014,0,-0.0212014,true
has_anyOf__AND__has_maxItems,has_anyOf,has_maxItems,1,364,0.00273973,1,5,1,364,1,0.0137363,72.8,0.986264,false
has_defs__AND__has_minItems,has_defs,has_minItems,1,364,0.00273973,1,5,1,364,1,0.0137363,72.8,0.986264,false
has_maxItems__AND__has_ref,has_maxItems,has_ref,1,364,0.00273973,1,5,1,364,1,0.0137363,72.8,0.986264,false
has_minItems__AND__has_ref,has_minItems,has_ref,1,364,0.00273973,1,5,1,364,1,0.0137363,72.8,0.986264,false
has_additionalProperties__AND__has_maxItems,has_additionalProperties,has_maxItems,2,363,0.00547945,1,5,2,363,0.5,0.0137741,36.3,0.486226,false
has_anyOf__AND__has_minItems,has_anyOf,has_minItems,2,363,0.00547945,1,5,2,363,0.5,0.0137741,36.3,0.486226,false
has_boolean_schema__AND__has_maxItems,has_boolean_schema,has_maxItems,2,363,0.00547945,1,5,2,363,0.5,0.0137741,36.3,0.486226,false
has_defs__AND__has_maxItems,has_defs,has_maxItems,2,363,0.00547945,1,5,2,363,0.5,0.0137741,36.3,0.486226,false
has_items__AND__has_ref,has_items,has_ref,2,363,0.00547945,1,5,2,363,0.5,0.0137741,36.3,0.486226,false
has_additionalProperties__AND__has_ref,has_additionalProperties,has_ref,3,362,0.00821918,1,5,3,362,0.333333,0.0138122,24.1333,0.319521,false
has_anyOf__AND__has_defs,has_anyOf,has_defs,3,362,0.00821918,1,5,3,362,0.333333,0.0138122,24.1333,0.319521,false
has_anyOf__AND__has_ref,has_anyOf,has_ref,3,362,0.00821918,1,5,3,362,0.333333,0.0138122,24.1333,0.319521,false
has_boolean_schema__AND__has_ref,has_boolean_schema,has_ref,3,362,0.00821918,1,5,3,362,0.333333,0.0138122,24.1333,0.319521,false
has_maxItems__AND__has_minItems,has_maxItems,has_minItems,3,362,0.00821918,1,5,3,362,0.333333,0.0138122,24.1333,0.319521,false
has_maxItems__AND__has_required,has_maxItems,has_required,3,362,0.00821918,1,5,3,362,0.333333,0.0138122,24.1333,0.319521,false
has_items__AND__has_maxItems,has_items,has_maxItems,4,361,0.0109589,1,5,4,361,0.25,0.0138504,18.05,0.23615,false
has_maxItems__AND__has_properties,has_maxItems,has_properties,4,361,0.0109589,1,5,4,361,0.25,0.0138504,18.05,0.23615,false
has_additionalProperties__AND__has_not,has_additionalProperties,has_not,1,364,0.00273973,0,6,1,364,0,0.0164835,0,-0.0164835,false
has_allOf__AND__has_maxItems,has_allOf,has_maxItems,1,364,0.00273973,0,6,1,364,0,0.0164835,0,-0.0164835,false
has_allOf__AND__has_maxLength,has_allOf,has_maxLength,1,364,0.00273973,0,6,1,364,0,0.0164835,0,-0.0164835,false
has_allOf__AND__has_minLength,has_allOf,has_minLength,1,364,0.00273973,0,6,1,364,0,0.0164835,0,-0.0164835,false
has_allOf__AND__has_minimum,has_allOf,has_minimum,1,364,0.00273973,0,6,1,364,0,0.0164835,0,-0.0164835,false
has_allOf__AND__has_oneOf,has_allOf,has_oneOf,1,364,0.00273973,0,6,1,364,0,0.0164835,0,-0.0164835,false
has_anyOf__AND__has_maxLength,has_anyOf,has_maxLength,1,364,0.00273973,0,6,1,364,0,0.0164835,0,-0.0164835,false
has_anyOf__AND__has_maximum,has_anyOf,has_maximum,1,364,0.00273973,0,6,1,364,0,0.0164835,0,-0.0164835,false
has_anyOf__AND__has_minLength,has_anyOf,has_minLength,1,364,0.00273973,0,6,1,364,0,0.0164835,0,-0.0164835,false
has_anyOf__AND__has_minimum,has_anyOf,has_minimum,1,364,0.00273973,0,6,1,364,0,0.0164835,0,-0.0164835,false
has_default__AND__has_maxLength,has_default,has_maxLength,1,364,0.00273973,0,6,1,364,0,0.0164835,0,-0.0164835,false
has_default__AND__has_maximum,has_default,has_maximum,1,364,0.00273973,0,6,1,364,0,0.0164835,0,-0.0164835,false
has_default__AND__has_minLength,has_default,has_minLength,1,364,0.00273973,0,6,1,364,0,0.0164835,0,-0.0164835,false
has_default__AND__has_minimum,has_default,has_minimum,1,364,0.00273973,0,6,1,364,0,0.0164835,0,-0.0164835,false
has_defs__AND__has_maxLength,has_defs,has_maxLength,1,364,0.00273973,0,6,1,364,0,0.0164835,0,-0.0164835,false
has_defs__AND__has_minLength,has_defs,has_minLength,1,364,0.00273973,0,6,1,364,0,0.0164835,0,-0.0164835,false
has_enum__AND__has_maxItems,has_enum,has_maxItems,1,364,0.00273973,0,6,1,364,0,0.0164835,0,-0.0164835,false
has_enum__AND__has_not,has_enum,has_not,1,364,0.00273973,0,6,1,364,0,0.0164835,0,-0.0164835,false
has_enum__AND__has_ref,has_enum,has_ref,1,364,0.00273973,0,6,1,364,0,0.0164835,0,-0.0164835,false
has_items__AND__has_not,has_items,has_not,1,364,0.00273973,0,6,1,364,0,0.0164835,0,-0.0164835,false
has_maxItems__AND__has_maxLength,has_maxItems,has_maxLength,1,364,0.00273973,0,6,1,364,0,0.0164835,0,-0.0164835,false
has_maxItems__AND__has_maximum,has_maxItems,has_maximum,1,364,0.00273973,0,6,1,364,0,0.0164835,0,-0.0164835,false
has_maxItems__AND__has_minLength,has_maxItems,has_minLength,1,364,0.00273973,0,6,1,364,0,0.0164835,0,-0.0164835,false
has_maxItems__AND__has_minimum,has_maxItems,has_minimum,1,364,0.00273973,0,6,1,364,0,0.0164835,0,-0.0164835,false
has_maxLength__AND__has_maximum,has_maxLength,has_maximum,1,364,0.00273973,0,6,1,364,0,0.0164835,0,-0.0164835,false
has_maximum__AND__has_minItems,has_maximum,has_minItems,1,364,0.00273973,0,6,1,364,0,0.0164835,0,-0.0164835,false
has_maximum__AND__has_oneOf,has_maximum,has_oneOf,1,364,0.00273973,0,6,1,364,0,0.0164835,0,-0.0164835,false
has_maximum__AND__has_pattern,has_maximum,has_pattern,1,364,0.00273973,0,6,1,364,0,0.0164835,0,-0.0164835,false
has_minItems__AND__has_minimum,has_minItems,has_minimum,1,364,0.00273973,0,6,1,364,0,0.0164835,0,-0.0164835,false
has_minLength__AND__has_minProperties,has_minLength,has_minProperties,1,364,0.00273973,0,6,1,364,0,0.0164835,0,-0.0164835,false
has_minLength__AND__has_minimum,has_minLength,has_minimum,1,364,0.00273973,0,6,1,364,0,0.0164835,0,-0.0164835,false
has_minLength__AND__has_not,has_minLength,has_not,1,364,0.00273973,0,6,1,364,0,0.0164835,0,-0.0164835,false
has_minimum__AND__has_multipleOf,has_minimum,has_multipleOf,1,364,0.00273973,0,6,1,364,0,0.0164835,0,-0.0164835,false
has_minimum__AND__has_pattern,has_minimum,has_pattern,1,364,0.00273973,0,6,1,364,0,0.0164835,0,-0.0164835,false
has_not__AND__has_pattern,has_not,has_pattern,1,364,0.00273973,0,6,1,364,0,0.0164835,0,-0.0164835,false
has_patternProperties__AND__has_ref,has_patternProperties,has_ref,1,364,0.00273973,0,6,1,364,0,0.0164835,0,-0.0164835,false
has_allOf__AND__has_ref,has_allOf,has_ref,2,363,0.00547945,0,6,2,363,0,0.0165289,0,-0.0165289,false
has_anyOf__AND__has_oneOf,has_anyOf,has_oneOf,2,363,0.00547945,0,6,2,363,0,0.0165289,0,-0.0165289,false
has_boolean_schema__AND__has_minProperties,has_boolean_schema,has_minProperties,2,363,0.00547945,0,6,2,363,0,0.0165289,0,-0.0165289,false
has_default__AND__has_defs,has_default,has_defs,2,363,0.00547945,0,6,2,363,0,0.0165289,0,-0.0165289,false
has_default__AND__has_minItems,has_default,has_minItems,2,363,0.00547945,0,6,2,363,0,0.0165289,0,-0.0165289,false
has_enum__AND__has_maxLength,has_enum,has_maxLength,2,363,0.00547945,0,6,2,363,0,0.0165289,0,-0.0165289,false
has_enum__AND__has_minimum,has_enum,has_minimum,2,363,0.00547945,0,6,2,363,0,0.0165289,0,-0.0165289,false
has_items__AND__has_maximum,has_items,has_maximum,2,363,0.00547945,0,6,2,363,0,0.0165289,0,-0.0165289,false
has_items__AND__has_patternProperties,has_items,has_patternProperties,2,363,0.00547945,0,6,2,363,0,0.0165289,0,-0.0165289,false
has_maxLength__AND__has_minimum,has_maxLength,has_minimum,2,363,0.00547945,0,6,2,363,0,0.0165289,0,-0.0165289,false
has_maxLength__AND__has_patternProperties,has_maxLength,has_patternProperties,2,363,0.00547945,0,6,2,363,0,0.0165289,0,-0.0165289,false
has_minItems__AND__has_minLength,has_minItems,has_minLength,2,363,0.00547945,0,6,2,363,0,0.0165289,0,-0.0165289,false
has_minProperties__AND__has_patternProperties,has_minProperties,has_patternProperties,2,363,0.00547945,0,6,2,363,0,0.0165289,0,-0.0165289,false
has_multipleOf__AND__has_properties,has_multipleOf,has_properties,2,363,0.00547945,0,6,2,363,0,0.0165289,0,-0.0165289,false
has_multipleOf__AND__has_type,has_multipleOf,has_type,2,363,0.00547945,0,6,2,363,0,0.0165289,0,-0.0165289,false
has_not__AND__has_oneOf,has_not,has_oneOf,2,363,0.00547945,0,6,2,363,0,0.0165289,0,-0.0165289,false
has_additionalProperties__AND__has_maximum,has_additionalProperties,has_maximum,3,362,0.00821918,0,6,3,362,0,0.0165746,0,-0.0165746,false
has_additionalProperties__AND__has_minProperties,has_additionalProperties,has_minProperties,3,362,0.00821918,0,6,3,362,0,0.0165746,0,-0.0165746,false
has_anyOf__AND__has_not,has_anyOf,has_not,3,362,0.00821918,0,6,3,362,0,0.0165746,0,-0.0165746,false
has_boolean_schema__AND__has_maximum,has_boolean_schema,has_maximum,3,362,0.00821918,0,6,3,362,0,0.0165746,0,-0.0165746,false
has_default__AND__has_pattern,has_default,has_pattern,3,362,0.00821918,0,6,3,362,0,0.0165746,0,-0.0165746,false
has_defs__AND__has_patternProperties,has_defs,has_patternProperties,3,362,0.00821918,0,6,3,362,0,0.0165746,0,-0.0165746,false
has_items__AND__has_minimum,has_items,has_minimum,3,362,0.00821918,0,6,3,362,0,0.0165746,0,-0.0165746,false
has_maxLength__AND__has_pattern,has_maxLength,has_pattern,3,362,0.00821918,0,6,3,362,0,0.0165746,0,-0.0165746,false
has_maximum__AND__has_required,has_maximum,has_required,3,362,0.00821918,0,6,3,362,0,0.0165746,0,-0.0165746,false
has_minProperties__AND__has_type,has_minProperties,has_type,3,362,0.00821918,0,6,3,362,0,0.0165746,0,-0.0165746,false
has_pattern__AND__has_patternProperties,has_pattern,has_patternProperties,3,362,0.00821918,0,6,3,362,0,0.0165746,0,-0.0165746,false
has_patternProperties__AND__has_required,has_patternProperties,has_required,3,362,0.00821918,0,6,3,362,0,0.0165746,0,-0.0165746,false
has_anyOf__AND__has_pattern,has_anyOf,has_pattern,4,361,0.0109589,0,6,4,361,0,0.0166205,0,-0.0166205,false
has_items__AND__has_maxLength,has_items,has_maxLength,4,361,0.0109589,0,6,4,361,0,0.0166205,0,-0.0166205,false
has_maximum__AND__has_properties,has_maximum,has_properties,4,361,0.0109589,0,6,4,361,0,0.0166205,0,-0.0166205,false
has_minItems__AND__has_pattern,has_minItems,has_pattern,4,361,0.0109589,0,6,4,361,0,0.0166205,0,-0.0166205,false
has_minLength__AND__has_patternProperties,has_minLength,has_patternProperties,4,361,0.0109589,0,6,4,361,0,0.0166205,0,-0.0166205,false
has_minimum__AND__has_oneOf,has_minimum,has_oneOf,4,361,0.0109589,0,6,4,361,0,0.0166205,0,-0.0166205,false
