feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,timeout_with_pair,timeout_without_pair,timeout_denominator_with,timeout_denominator_without,timeout_rate_with,timeout_rate_without,lift,delta,eligible_lift
has_additionalProperties__AND__has_maxItems,has_additionalProperties,has_maxItems,67,1756,0.0367526,15,73,67,1756,0.223881,0.0415718,5.3854,0.182309,true
has_boolean_schema__AND__has_maxItems,has_boolean_schema,has_maxItems,68,1755,0.0373012,15,73,68,1755,0.220588,0.0415954,5.30318,0.178993,true
has_maxLength__AND__has_oneOf,has_maxLength,has_oneOf,34,1789,0.0186506,8,80,34,1789,0.235294,0.0447177,5.26176,0.190576,true
has_maxLength__AND__has_minimum,has_maxLength,has_minimum,64,1759,0.035107,14,74,64,1759,0.21875,0.0420694,5.19975,0.176681,true
has_items__AND__has_pattern,has_items,has_pattern,316,1507,0.173341,45,43,316,1507,0.142405,0.0285335,4.9908,0.113872,true
has_pattern__AND__has_required,has_pattern,has_required,385,1438,0.21119,50,38,385,1438,0.12987,0.0264256,4.91456,0.103445,true
has_enum__AND__has_maximum,has_enum,has_maximum,72,1751,0.0394953,14,74,72,1751,0.194444,0.0422616,4.60098,0.152183,true
has_items__AND__has_minLength,has_items,has_minLength,186,1637,0.10203,30,58,186,1637,0.16129,0.0354307,4.55228,0.12586,true
has_default__AND__has_pattern,has_default,has_pattern,158,1665,0.0866703,26,62,158,1665,0.164557,0.0372372,4.41915,0.12732,true
has_items__AND__has_maxItems,has_items,has_maxItems,90,1733,0.0493692,16,72,90,1733,0.177778,0.0415465,4.27901,0.136231,true
has_maxItems__AND__has_properties,has_maxItems,has_properties,90,1733,0.0493692,16,72,90,1733,0.177778,0.0415465,4.27901,0.136231,true
has_maxItems__AND__has_type,has_maxItems,has_type,90,1733,0.0493692,16,72,90,1733,0.177778,0.0415465,4.27901,0.136231,true
has_maxProperties__AND__has_oneOf,has_maxProperties,has_oneOf,5,1818,0.00274273,1,87,5,1818,0.2,0.0478548,4.17931,0.152145,true
has_minLength__AND__has_required,has_minLength,has_required,262,1561,0.143719,36,52,262,1561,0.137405,0.033312,4.12478,0.104093,true
has_default__AND__has_maximum,has_default,has_maximum,45,1778,0.0246846,8,80,45,1778,0.177778,0.0449944,3.95111,0.132783,true
has_oneOf__AND__has_pattern,has_oneOf,has_pattern,58,1765,0.0318157,10,78,58,1765,0.172414,0.0441926,3.90141,0.128221,true
has_additionalProperties__AND__has_enum,has_additionalProperties,has_enum,402,1421,0.220516,46,42,402,1421,0.114428,0.0295567,3.87148,0.0848712,true
has_boolean_schema__AND__has_enum,has_boolean_schema,has_enum,390,1433,0.213933,45,43,390,1433,0.115385,0.030007,3.84526,0.0853776,true
has_minimum__AND__has_pattern,has_minimum,has_pattern,89,1734,0.0488206,14,74,89,1734,0.157303,0.0426759,3.686,0.114627,true
has_boolean_schema__AND__has_default,has_boolean_schema,has_default,199,1624,0.109161,27,61,199,1624,0.135678,0.0375616,3.61216,0.0981168,true
has_minLength__AND__has_minimum,has_minLength,has_minimum,70,1753,0.0383982,11,77,70,1753,0.157143,0.0439247,3.57755,0.113218,true
has_maxItems__AND__has_required,has_maxItems,has_required,57,1766,0.0312671,9,79,57,1766,0.157895,0.0447339,3.52965,0.113161,true
has_additionalProperties__AND__has_default,has_additionalProperties,has_default,213,1610,0.11684,28,60,213,1610,0.131455,0.0372671,3.52739,0.0941883,true
has_allOf__AND__has_default,has_allOf,has_default,6,1817,0.00329128,1,87,6,1817,0.166667,0.0478811,3.48084,0.118786,true
has_multipleOf__AND__has_required,has_multipleOf,has_required,6,1817,0.00329128,1,87,6,1817,0.166667,0.0478811,3.48084,0.118786,true
has_enum__AND__has_properties,has_enum,has_properties,808,1015,0.443225,64,24,808,1015,0.0792079,0.0236453,3.34983,0.0555626,true
has_enum__AND__has_type,has_enum,has_type,808,1015,0.443225,64,24,808,1015,0.0792079,0.0236453,3.34983,0.0555626,true
has_boolean_schema__AND__has_maximum,has_boolean_schema,has_maximum,68,1755,0.0373012,10,78,68,1755,0.147059,0.0444444,3.30882,0.102614,true
has_additionalProperties__AND__has_maximum,has_additionalProperties,has_maximum,70,1753,0.0383982,10,78,70,1753,0.142857,0.0444952,3.21062,0.098362,true
has_enum__AND__has_minimum,has_enum,has_minimum,111,1712,0.0608886,15,73,111,1712,0.135135,0.0426402,3.1692,0.0924949,true
has_enum__AND__has_items,has_enum,has_items,423,1400,0.232035,43,45,423,1400,0.101655,0.0321429,3.1626,0.069512,true
has_additionalProperties__AND__has_maxProperties,has_additionalProperties,has_maxProperties,7,1816,0.00383982,1,87,7,1816,0.142857,0.0479075,2.98194,0.0949497,true
has_boolean_schema__AND__has_maxProperties,has_boolean_schema,has_maxProperties,7,1816,0.00383982,1,87,7,1816,0.142857,0.0479075,2.98194,0.0949497,true
has_enum__AND__has_maxProperties,has_enum,has_maxProperties,7,1816,0.00383982,1,87,7,1816,0.142857,0.0479075,2.98194,0.0949497,true
